complaint_id,latent_syndicate_id,filer_cohort,hop_count_actual,cashout_zone_id,cmp_before_cashout,edge_case_tag
V2CMP_0000051,LSYN_0303,normal,3,V2_ZID_043,False,CROSS_STATE|CROSS_REGION
V2CMP_0000052,LSYN_0731,normal,3,V2_ZID_061,False,CROSS_STATE|CROSS_REGION|VERY_SHORT_WINDOW
V2CMP_0000053,LSYN_0361,normal,3,V2_ZID_003,False,CROSS_STATE|CROSS_REGION|VERY_SHORT_WINDOW
V2CMP_0000054,LSYN_0629,fast,2,V2_ZID_109,False,CROSS_STATE|CROSS_REGION
V2CMP_0000055,LSYN_0765,fast,4,V2_ZID_095,False,CROSS_STATE|CROSS_REGION
V2CMP_0000056,LSYN_0192,slow,0,V2_ZID_043,False,ZERO_HOP|CROSS_STATE|CROSS_REGION
V2CMP_0000057,LSYN_0218,fast,3,V2_ZID_025,False,CROSS_STATE|CROSS_REGION
V2CMP_0000058,LSYN_0253,fast,8,V2_ZID_073,True,LONG_CHAIN|CROSS_STATE|CROSS_REGION|INTERVENTION
V2CMP_0000059,LSYN_0039,normal,3,V2_ZID_071,False,CROSS_STATE|CROSS_REGION|CENSORED
V2CMP_0000060,LSYN_0469,normal,0,V2_ZID_015,False,ZERO_HOP|CROSS_STATE|CROSS_REGION
V2CMP_0000061,LSYN_0536,fast,6,V2_ZID_005,True,LONG_CHAIN|CROSS_STATE|CROSS_REGION|INTERVENTION|HOTSPOT_TARGET
V2CMP_0000062,LSYN_0828,normal,2,V2_ZID_019,False,CROSS_STATE|CROSS_REGION|VERY_SHORT_WINDOW
V2CMP_0000063,LSYN_0834,fast,2,V2_ZID_116,False,CROSS_STATE|CROSS_REGION|CENSORED
V2CMP_0000064,LSYN_0003,normal,3,V2_ZID_066,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000065,LSYN_0021,normal,3,V2_ZID_060,False,CROSS_STATE|CROSS_REGION
V2CMP_0000066,LSYN_0385,fast,6,V2_ZID_114,False,LONG_CHAIN|CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000067,LSYN_0039,slow,5,V2_ZID_044,False,CROSS_STATE|SHORT_WINDOW
V2CMP_0000068,LSYN_0066,normal,3,V2_ZID_023,False,CROSS_STATE
V2CMP_0000069,LSYN_0414,normal,5,V2_ZID_007,False,CROSS_STATE
V2CMP_0000070,LSYN_0191,slow,7,V2_ZID_048,False,LONG_CHAIN|CROSS_STATE|CROSS_REGION
V2CMP_0000071,LSYN_0284,fast,1,V2_ZID_041,False,CROSS_STATE|CROSS_REGION
V2CMP_0000072,LSYN_0733,slow,2,V2_ZID_039,False,CROSS_STATE|CROSS_REGION
V2CMP_0000073,LSYN_0017,normal,7,V2_ZID_031,False,LONG_CHAIN|CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000074,LSYN_0075,normal,1,V2_ZID_048,False,SAME_STATE|VERY_SHORT_WINDOW
V2CMP_0000075,LSYN_0392,normal,6,V2_ZID_052,True,LONG_CHAIN|CROSS_STATE|CROSS_REGION|INTERVENTION|LONG_WINDOW
V2CMP_0000076,LSYN_0868,slow,2,V2_ZID_111,False,SAME_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000077,LSYN_0650,normal,4,V2_ZID_071,False,CROSS_STATE|CROSS_REGION
V2CMP_0000078,LSYN_0392,normal,2,V2_ZID_036,False,CROSS_STATE|CROSS_REGION
V2CMP_0000079,LSYN_0149,slow,3,V2_ZID_021,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000080,LSYN_0213,slow,1,V2_ZID_073,False,CROSS_STATE|CROSS_REGION
V2CMP_0000081,LSYN_0565,normal,5,V2_ZID_072,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW|HOTSPOT_TARGET
V2CMP_0000082,LSYN_0273,fast,0,V2_ZID_110,False,ZERO_HOP|CROSS_STATE|CROSS_REGION
V2CMP_0000083,LSYN_0175,normal,5,V2_ZID_009,False,CROSS_STATE|CROSS_REGION
V2CMP_0000084,LSYN_0514,normal,1,V2_ZID_027,False,CROSS_STATE
V2CMP_0000085,LSYN_0699,fast,1,V2_ZID_044,False,CROSS_STATE|CROSS_REGION|VERY_SHORT_WINDOW
V2CMP_0000086,LSYN_0325,fast,2,V2_ZID_022,False,CROSS_STATE|CROSS_REGION
V2CMP_0000087,LSYN_0266,normal,2,V2_ZID_108,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000088,LSYN_0163,slow,2,V2_ZID_059,False,CROSS_STATE|CROSS_REGION
V2CMP_0000089,LSYN_0353,normal,2,V2_ZID_026,False,CROSS_STATE|CROSS_REGION
V2CMP_0000090,LSYN_0200,fast,3,V2_ZID_096,False,CROSS_STATE|CROSS_REGION
V2CMP_0000091,LSYN_0759,normal,2,V2_ZID_044,False,CROSS_STATE|CROSS_REGION
V2CMP_0000092,LSYN_0589,fast,4,V2_ZID_025,False,SAME_STATE|SAME_ZONE
V2CMP_0000093,LSYN_0603,normal,4,V2_ZID_103,False,CROSS_STATE|CROSS_REGION
V2CMP_0000094,LSYN_0403,fast,1,V2_ZID_112,False,CROSS_STATE|CROSS_REGION|VERY_SHORT_WINDOW
V2CMP_0000095,LSYN_0756,fast,3,V2_ZID_007,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000096,LSYN_0208,normal,1,V2_ZID_115,True,CROSS_STATE|CROSS_REGION|INTERVENTION
V2CMP_0000097,LSYN_0537,normal,3,V2_ZID_029,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000098,LSYN_0018,normal,2,V2_ZID_119,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000099,LSYN_0354,fast,4,V2_ZID_019,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000100,LSYN_0091,fast,4,V2_ZID_106,True,CROSS_STATE|CROSS_REGION
V2CMP_0000101,LSYN_0768,normal,4,V2_ZID_046,False,CROSS_STATE|CROSS_REGION|VERY_SHORT_WINDOW
V2CMP_0000102,LSYN_0816,normal,3,V2_ZID_088,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000103,LSYN_0541,normal,1,V2_ZID_028,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000104,LSYN_0122,normal,0,V2_ZID_007,False,ZERO_HOP|CROSS_STATE|CROSS_REGION
V2CMP_0000105,LSYN_0435,fast,3,V2_ZID_098,False,CROSS_STATE|CROSS_REGION
V2CMP_0000106,LSYN_0216,normal,2,V2_ZID_107,False,CROSS_STATE|SHORT_WINDOW
V2CMP_0000107,LSYN_0042,slow,3,V2_ZID_004,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000108,LSYN_0434,slow,2,V2_ZID_011,False,CROSS_STATE|CROSS_REGION
V2CMP_0000109,LSYN_0810,fast,3,V2_ZID_013,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000110,LSYN_0095,slow,7,V2_ZID_009,False,LONG_CHAIN|CROSS_STATE|CROSS_REGION|CENSORED
V2CMP_0000111,LSYN_0100,normal,2,V2_ZID_060,False,CROSS_STATE|CROSS_REGION
V2CMP_0000112,LSYN_0749,normal,2,V2_ZID_018,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000113,LSYN_0184,normal,1,V2_ZID_080,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000114,LSYN_0328,fast,2,V2_ZID_055,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW|HOTSPOT_TARGET
V2CMP_0000115,LSYN_0092,fast,7,V2_ZID_076,True,LONG_CHAIN|CROSS_STATE|CROSS_REGION|INTERVENTION
V2CMP_0000116,LSYN_0626,slow,1,V2_ZID_057,False,SAME_STATE
V2CMP_0000117,LSYN_0009,normal,5,V2_ZID_031,False,CROSS_STATE|CROSS_REGION
V2CMP_0000118,LSYN_0482,normal,1,V2_ZID_025,False,CROSS_STATE
V2CMP_0000119,LSYN_0207,normal,1,V2_ZID_013,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000120,LSYN_0505,normal,4,V2_ZID_073,False,CROSS_STATE|CROSS_REGION
V2CMP_0000121,LSYN_0748,slow,4,V2_ZID_043,False,CROSS_STATE|CROSS_REGION
V2CMP_0000122,LSYN_0678,normal,3,V2_ZID_022,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000123,LSYN_0599,fast,4,V2_ZID_119,False,CROSS_STATE|CROSS_REGION
V2CMP_0000124,LSYN_0573,normal,4,V2_ZID_029,False,CROSS_STATE|CROSS_REGION
V2CMP_0000125,LSYN_0240,normal,2,V2_ZID_085,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000126,LSYN_0146,normal,2,V2_ZID_063,False,CROSS_STATE|CROSS_REGION|HOTSPOT_TARGET
V2CMP_0000127,LSYN_0719,normal,3,V2_ZID_003,False,CROSS_STATE|CROSS_REGION|CENSORED
V2CMP_0000128,LSYN_0080,slow,5,V2_ZID_105,False,CROSS_STATE|CROSS_REGION
V2CMP_0000129,LSYN_0327,normal,3,V2_ZID_002,False,CROSS_STATE|CROSS_REGION
V2CMP_0000130,LSYN_0228,normal,4,V2_ZID_029,False,CROSS_STATE
V2CMP_0000131,LSYN_0565,normal,2,V2_ZID_107,False,CROSS_STATE|CROSS_REGION
V2CMP_0000132,LSYN_0184,normal,4,V2_ZID_021,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000133,LSYN_0756,normal,3,V2_ZID_014,False,CROSS_STATE|CROSS_REGION
V2CMP_0000134,LSYN_0022,fast,5,V2_ZID_063,True,CROSS_STATE|CROSS_REGION|INTERVENTION|HOTSPOT_TARGET
V2CMP_0000135,LSYN_0499,normal,2,V2_ZID_072,False,SAME_STATE|VERY_SHORT_WINDOW|HOTSPOT_TARGET
V2CMP_0000136,LSYN_0264,normal,1,V2_ZID_071,False,CROSS_STATE|CROSS_REGION
V2CMP_0000137,LSYN_0543,normal,3,V2_ZID_102,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000138,LSYN_0352,slow,4,V2_ZID_089,False,CROSS_STATE|CROSS_REGION|CENSORED|SHORT_WINDOW
V2CMP_0000139,LSYN_0320,fast,2,V2_ZID_086,True,CROSS_STATE|CROSS_REGION
V2CMP_0000140,LSYN_0427,normal,2,V2_ZID_033,False,CROSS_STATE|CROSS_REGION
V2CMP_0000141,LSYN_0751,normal,1,V2_ZID_007,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000142,LSYN_0616,normal,1,V2_ZID_010,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000143,LSYN_0592,slow,1,V2_ZID_054,False,CROSS_STATE|CROSS_REGION|LONG_WINDOW|HOTSPOT_TARGET
V2CMP_0000144,LSYN_0644,normal,2,V2_ZID_001,False,CROSS_STATE|CROSS_REGION
V2CMP_0000145,LSYN_0538,normal,3,V2_ZID_027,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000146,LSYN_0386,normal,3,V2_ZID_041,False,CROSS_STATE|CROSS_REGION
V2CMP_0000147,LSYN_0680,slow,5,V2_ZID_023,False,CROSS_STATE|CROSS_REGION
V2CMP_0000148,LSYN_0720,normal,3,V2_ZID_090,False,CROSS_STATE|CROSS_REGION
V2CMP_0000149,LSYN_0011,fast,3,V2_ZID_083,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000150,LSYN_0076,normal,1,V2_ZID_069,False,CROSS_STATE|CROSS_REGION|LONG_WINDOW|HOTSPOT_TARGET
V2CMP_0000151,LSYN_0827,normal,2,V2_ZID_055,False,CROSS_STATE|CROSS_REGION|HOTSPOT_TARGET
V2CMP_0000152,LSYN_0452,normal,4,V2_ZID_082,False,CROSS_STATE|CROSS_REGION
V2CMP_0000153,LSYN_0157,normal,7,V2_ZID_001,False,LONG_CHAIN|CROSS_STATE|CROSS_REGION
V2CMP_0000154,LSYN_0416,normal,3,V2_ZID_043,False,CROSS_STATE|CROSS_REGION
V2CMP_0000155,LSYN_0628,normal,2,V2_ZID_019,False,CROSS_STATE|CROSS_REGION
V2CMP_0000156,LSYN_0586,slow,4,V2_ZID_114,False,CROSS_STATE|CROSS_REGION|VERY_SHORT_WINDOW
V2CMP_0000157,LSYN_0051,normal,3,V2_ZID_059,False,CROSS_STATE|CROSS_REGION|CENSORED|VERY_SHORT_WINDOW
V2CMP_0000158,LSYN_0575,normal,3,V2_ZID_020,False,CROSS_STATE|CROSS_REGION
V2CMP_0000159,LSYN_0808,slow,1,V2_ZID_016,False,CROSS_STATE|SHORT_WINDOW
V2CMP_0000160,LSYN_0585,fast,6,V2_ZID_017,False,LONG_CHAIN|CROSS_STATE|CROSS_REGION
V2CMP_0000161,LSYN_0468,normal,2,V2_ZID_013,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000162,LSYN_0207,normal,5,V2_ZID_085,False,CROSS_STATE|CROSS_REGION
V2CMP_0000163,LSYN_0480,fast,2,V2_ZID_001,False,CROSS_STATE|CROSS_REGION
V2CMP_0000164,LSYN_0449,normal,3,V2_ZID_099,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000165,LSYN_0774,slow,4,V2_ZID_016,False,CROSS_STATE|CROSS_REGION|LONG_WINDOW
V2CMP_0000166,LSYN_0106,slow,0,V2_ZID_093,False,ZERO_HOP|CROSS_STATE|CROSS_REGION
V2CMP_0000167,LSYN_0776,normal,4,V2_ZID_067,False,CROSS_STATE|CROSS_REGION|CENSORED|SHORT_WINDOW
V2CMP_0000168,LSYN_0713,fast,7,V2_ZID_045,True,LONG_CHAIN|CROSS_STATE|CROSS_REGION
V2CMP_0000169,LSYN_0437,fast,0,V2_ZID_039,False,ZERO_HOP|CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000170,LSYN_0007,fast,6,V2_ZID_024,False,LONG_CHAIN|CROSS_STATE|CROSS_REGION
V2CMP_0000171,LSYN_0176,normal,2,V2_ZID_048,False,CROSS_STATE|CROSS_REGION|LONG_WINDOW
V2CMP_0000172,LSYN_0708,normal,4,V2_ZID_040,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000173,LSYN_0645,normal,4,V2_ZID_045,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000174,LSYN_0150,normal,4,V2_ZID_100,False,CROSS_STATE|CROSS_REGION
V2CMP_0000175,LSYN_0322,normal,2,V2_ZID_060,False,CROSS_STATE|CROSS_REGION
V2CMP_0000176,LSYN_0700,normal,5,V2_ZID_030,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000177,LSYN_0646,normal,4,V2_ZID_009,False,CROSS_STATE|CROSS_REGION
V2CMP_0000178,LSYN_0463,slow,2,V2_ZID_037,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000179,LSYN_0737,normal,3,V2_ZID_075,True,CROSS_STATE|CROSS_REGION
V2CMP_0000180,LSYN_0151,normal,1,V2_ZID_116,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000181,LSYN_0205,fast,2,V2_ZID_104,False,CROSS_STATE|CROSS_REGION
V2CMP_0000182,LSYN_0064,normal,5,V2_ZID_032,False,CROSS_STATE|CROSS_REGION
V2CMP_0000183,LSYN_0086,fast,4,V2_ZID_069,False,CROSS_STATE|CROSS_REGION|HOTSPOT_TARGET
V2CMP_0000184,LSYN_0859,normal,2,V2_ZID_056,False,CROSS_STATE|CROSS_REGION
V2CMP_0000185,LSYN_0558,normal,5,V2_ZID_002,False,CROSS_STATE|CROSS_REGION
V2CMP_0000186,LSYN_0246,normal,2,V2_ZID_092,False,CROSS_STATE|CROSS_REGION
V2CMP_0000187,LSYN_0825,slow,2,V2_ZID_093,False,CROSS_STATE|CROSS_REGION
V2CMP_0000188,LSYN_0212,normal,1,V2_ZID_047,False,CROSS_STATE|CROSS_REGION|LONG_WINDOW
V2CMP_0000189,LSYN_0094,fast,3,V2_ZID_066,False,CROSS_STATE|CROSS_REGION
V2CMP_0000190,LSYN_0860,normal,5,V2_ZID_084,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000191,LSYN_0266,slow,1,V2_ZID_029,False,CROSS_STATE|CROSS_REGION
V2CMP_0000192,LSYN_0183,fast,4,V2_ZID_010,False,CROSS_STATE|CROSS_REGION|VERY_SHORT_WINDOW
V2CMP_0000193,LSYN_0786,slow,0,V2_ZID_085,False,ZERO_HOP|CROSS_STATE|CROSS_REGION
V2CMP_0000194,LSYN_0646,normal,5,V2_ZID_102,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000195,LSYN_0237,normal,3,V2_ZID_112,False,CROSS_STATE|CROSS_REGION
V2CMP_0000196,LSYN_0751,normal,3,V2_ZID_007,False,CROSS_STATE|CROSS_REGION
V2CMP_0000197,LSYN_0355,fast,6,V2_ZID_049,True,LONG_CHAIN|CROSS_STATE|CROSS_REGION|INTERVENTION
V2CMP_0000198,LSYN_0569,normal,4,V2_ZID_083,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000199,LSYN_0710,slow,5,V2_ZID_061,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000200,LSYN_0347,fast,1,V2_ZID_068,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000201,LSYN_0886,normal,4,V2_ZID_043,False,CROSS_STATE|CROSS_REGION
V2CMP_0000202,LSYN_0774,fast,8,V2_ZID_030,True,LONG_CHAIN|CROSS_STATE|CROSS_REGION
V2CMP_0000203,LSYN_0590,fast,1,V2_ZID_019,False,CROSS_STATE|CROSS_REGION|VERY_SHORT_WINDOW
V2CMP_0000204,LSYN_0154,fast,1,V2_ZID_062,False,CROSS_STATE|CROSS_REGION
V2CMP_0000205,LSYN_0423,fast,6,V2_ZID_054,True,LONG_CHAIN|CROSS_STATE|LONG_WINDOW|HOTSPOT_TARGET
V2CMP_0000206,LSYN_0178,fast,2,V2_ZID_021,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000207,LSYN_0118,normal,2,V2_ZID_056,False,CROSS_STATE|CROSS_REGION
V2CMP_0000208,LSYN_0711,normal,1,V2_ZID_054,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW|HOTSPOT_TARGET
V2CMP_0000209,LSYN_0368,normal,4,V2_ZID_109,False,CROSS_STATE|CROSS_REGION
V2CMP_0000210,LSYN_0739,normal,3,V2_ZID_034,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000211,LSYN_0776,normal,5,V2_ZID_041,False,CROSS_STATE|CROSS_REGION
V2CMP_0000212,LSYN_0771,normal,2,V2_ZID_120,False,CROSS_STATE|CROSS_REGION
V2CMP_0000213,LSYN_0090,normal,2,V2_ZID_012,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000214,LSYN_0604,normal,4,V2_ZID_066,False,CROSS_STATE|CROSS_REGION
V2CMP_0000215,LSYN_0477,fast,4,V2_ZID_120,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000216,LSYN_0170,slow,2,V2_ZID_088,False,CROSS_STATE|CROSS_REGION
V2CMP_0000217,LSYN_0304,fast,2,V2_ZID_034,False,CROSS_STATE|CROSS_REGION
V2CMP_0000218,LSYN_0256,slow,4,V2_ZID_105,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000219,LSYN_0478,slow,3,V2_ZID_093,False,CROSS_STATE|CROSS_REGION|LONG_WINDOW
V2CMP_0000220,LSYN_0850,normal,5,V2_ZID_104,False,CROSS_STATE|CROSS_REGION
V2CMP_0000221,LSYN_0848,normal,1,V2_ZID_014,False,CROSS_STATE|CROSS_REGION|LONG_WINDOW
V2CMP_0000222,LSYN_0525,fast,3,V2_ZID_120,False,CROSS_STATE|CROSS_REGION
V2CMP_0000223,LSYN_0408,normal,1,V2_ZID_105,False,CROSS_STATE|CROSS_REGION
V2CMP_0000224,LSYN_0478,normal,3,V2_ZID_016,False,CROSS_STATE|CROSS_REGION
V2CMP_0000225,LSYN_0621,slow,6,V2_ZID_038,False,LONG_CHAIN|CROSS_STATE|CROSS_REGION
V2CMP_0000226,LSYN_0299,normal,3,V2_ZID_070,False,CROSS_STATE|CROSS_REGION
V2CMP_0000227,LSYN_0896,normal,6,V2_ZID_110,False,LONG_CHAIN|CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000228,LSYN_0184,normal,5,V2_ZID_040,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000229,LSYN_0339,fast,2,V2_ZID_020,False,CROSS_STATE|CROSS_REGION
V2CMP_0000230,LSYN_0583,fast,2,V2_ZID_031,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000231,LSYN_0552,fast,0,V2_ZID_021,False,ZERO_HOP|CROSS_STATE|CROSS_REGION
V2CMP_0000232,LSYN_0546,slow,2,V2_ZID_048,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW
V2CMP_0000233,LSYN_0772,fast,1,V2_ZID_054,False,CROSS_STATE|CROSS_REGION|HOTSPOT_TARGET
V2CMP_0000234,LSYN_0570,normal,5,V2_ZID_018,True,CROSS_STATE|CROSS_REGION|INTERVENTION
V2CMP_0000235,LSYN_0396,fast,5,V2_ZID_019,True,CROSS_STATE|CROSS_REGION
V2CMP_0000236,LSYN_0468,normal,4,V2_ZID_063,False,CROSS_STATE|CROSS_REGION|SHORT_WINDOW|HOTSPOT_TARGET
