zone_id,zone_name,locality,city,district,state,region,lat,lng,zone_type,min_share,max_share,preferred_typologies
V2_ZID_047,Surat Varachha,Varachha / Adajan,Surat,Surat,Gujarat,west,21.1702,72.8311,Metro,0.016,0.033,"TYP_04,TYP_03"
V2_ZID_048,Vadodara Alkapuri,Alkapuri / Fatehgunj,Vadodara,Vadodara,Gujarat,west,22.3119,73.1723,Tier2City,0.01,0.022,"TYP_01,TYP_03"
V2_ZID_049,Rajkot Kalawad Road,Kalawad Road / Bhakti Nagar,Rajkot,Rajkot,Gujarat,west,22.3039,70.8022,Tier2City,0.008,0.018,"TYP_01,TYP_06"
V2_ZID_050,Jaipur C-Scheme / Malviya Nagar,C-Scheme / Malviya Nagar / Tonk Road,Jaipur,Jaipur,Rajasthan,west,26.9124,75.7873,Metro,0.022,0.045,"TYP_04,TYP_07"
V2_ZID_051,Jodhpur Shastri Nagar,Shastri Nagar / Sardarpura,Jodhpur,Jodhpur,Rajasthan,west,26.2389,73.0243,Tier2City,0.01,0.022,"TYP_01,TYP_03"
V2_ZID_052,Kota City,Kota city centre / Vigyan Nagar,Kota,Kota,Rajasthan,west,25.2138,75.8648,Tier2City,0.008,0.018,"TYP_01,TYP_06"
V2_ZID_053,Udaipur / Bhilwara,Udaipur city,Udaipur,Udaipur,Rajasthan,west,24.5854,73.7125,Tier2City,0.006,0.015,"TYP_01,TYP_09"
V2_ZID_054,Alwar,Alwar bus stand / railway area,Alwar,Alwar,Rajasthan,west,27.553,76.6346,Hotspot,0.012,0.026,"TYP_01,TYP_05,TYP_06"
V2_ZID_055,Bharatpur,Bharatpur city centre,Bharatpur,Bharatpur,Rajasthan,west,27.217,77.49,Hotspot,0.01,0.024,"TYP_01,TYP_05"
V2_ZID_056,Gandhinagar,Gandhinagar Sector 11,Gandhinagar,Gandhinagar,Gujarat,west,23.2156,72.6369,Tier2City,0.006,0.015,"TYP_04,TYP_08"
V2_ZID_057,Kolkata Salt Lake,Salt Lake / New Town / Sector V,Kolkata,North 24 Parganas,West Bengal,east,22.5726,88.3639,Metro,0.025,0.048,"TYP_04,TYP_07"
V2_ZID_058,Kolkata Esplanade,Esplanade / Park Street / BBD Bagh,Kolkata,Kolkata,West Bengal,east,22.5645,88.3502,Metro,0.014,0.03,"TYP_01,TYP_06"
V2_ZID_059,Patna Boring Road,Boring Road / Kankarbagh,Patna,Patna,Bihar,east,25.6093,85.1376,Metro,0.016,0.033,"TYP_04,TYP_07"
V2_ZID_060,Muzaffarpur,Mithanpura / Motijheel,Muzaffarpur,Muzaffarpur,Bihar,east,26.1209,85.3647,Tier2City,0.008,0.018,"TYP_01,TYP_06"
V2_ZID_061,Gaya / Bodh Gaya,Station Road Gaya,Gaya,Gaya,Bihar,east,24.7914,84.9994,Tier3City,0.006,0.014,"TYP_01,TYP_05"
V2_ZID_062,Bhagalpur,City centre / Tilkamanjhi,Bhagalpur,Bhagalpur,Bihar,east,25.2425,86.9842,Tier3City,0.005,0.012,"TYP_01,TYP_06"
V2_ZID_063,Jamtara,Jamtara town / Nala,Jamtara,Jamtara,Jharkhand,east,23.9625,86.8021,Hotspot,0.015,0.03,"TYP_01,TYP_05,TYP_02"
V2_ZID_064,Deoghar,Deoghar city / Jasidih,Deoghar,Deoghar,Jharkhand,east,24.4818,86.6974,Hotspot,0.013,0.028,"TYP_01,TYP_05"
V2_ZID_065,Ranchi City,Main Road / Kanke Road,Ranchi,Ranchi,Jharkhand,east,23.3441,85.3096,Metro,0.01,0.022,"TYP_04,TYP_03"
V2_ZID_066,Dhanbad,Bank More / Jharia,Dhanbad,Dhanbad,Jharkhand,east,23.7957,86.4304,Tier2City,0.007,0.016,"TYP_01,TYP_06"
V2_ZID_067,Bhubaneswar Jaydev Vihar,Jaydev Vihar / Saheed Nagar,Bhubaneswar,Khordha,Odisha,east,20.2961,85.8245,Metro,0.012,0.025,"TYP_04,TYP_07"
V2_ZID_068,Cuttack Buxi Bazar,Buxi Bazar / Badambadi,Cuttack,Cuttack,Odisha,east,20.4625,85.8828,Tier2City,0.007,0.016,"TYP_01,TYP_06"
V2_ZID_069,Dhenkanal / Angul,Dhenkanal town,Dhenkanal,Dhenkanal,Odisha,east,20.653,85.5981,Hotspot,0.008,0.018,"TYP_01,TYP_05"
V2_ZID_070,Siliguri,Siliguri City Centre / Sevoke Road,Siliguri,Darjeeling,West Bengal,east,26.7271,88.3953,Transit,0.008,0.018,"TYP_01,TYP_06"
V2_ZID_071,Asansol Burnpur,Burnpur / Kulti,Asansol,Paschim Bardhaman,West Bengal,east,23.6739,86.9524,Tier2City,0.006,0.014,"TYP_01,TYP_05"
V2_ZID_072,Katihar,Katihar town / railway junction,Katihar,Katihar,Bihar,east,25.5458,87.5819,Hotspot,0.007,0.016,"TYP_01,TYP_06"
V2_ZID_073,Bhopal MP Nagar,MP Nagar / New Market,Bhopal,Bhopal,Madhya Pradesh,central,23.2599,77.4126,Metro,0.014,0.028,"TYP_04,TYP_07"
V2_ZID_074,Indore Vijay Nagar,Vijay Nagar / LIG Colony,Indore,Indore,Madhya Pradesh,central,22.7196,75.8577,Metro,0.016,0.033,"TYP_04,TYP_07"
V2_ZID_075,Jabalpur Napier Town,Napier Town / Civil Lines,Jabalpur,Jabalpur,Madhya Pradesh,central,23.1815,79.9864,Tier2City,0.007,0.016,"TYP_01,TYP_03"
V2_ZID_076,Gwalior Lashkar,Lashkar / Morar,Gwalior,Gwalior,Madhya Pradesh,central,26.2183,78.1828,Tier2City,0.007,0.016,"TYP_01,TYP_06"
V2_ZID_077,Sagar / Damoh,Sagar city,Sagar,Sagar,Madhya Pradesh,central,23.8388,78.7378,Tier3City,0.004,0.01,"TYP_01,TYP_05"
V2_ZID_078,Raipur Shankar Nagar,Shankar Nagar / Devendra Nagar,Raipur,Raipur,Chhattisgarh,central,21.2514,81.6296,Metro,0.01,0.022,"TYP_04,TYP_03"
V2_ZID_079,Bilaspur Vyapar Vihar,Vyapar Vihar / Torwa,Bilaspur,Bilaspur,Chhattisgarh,central,22.0797,82.1409,Tier2City,0.006,0.014,"TYP_01,TYP_06"
V2_ZID_080,Jalgaon / Dhule,Jalgaon city,Jalgaon,Jalgaon,Maharashtra,central,21.0077,75.5626,Tier3City,0.004,0.01,"TYP_06,TYP_02"
V2_ZID_081,Ujjain Nanakheda,Nanakheda / Freeganj,Ujjain,Ujjain,Madhya Pradesh,central,23.1765,75.7885,Tier3City,0.004,0.01,"TYP_01,TYP_06"
V2_ZID_082,Ajmer,Ajmer city centre / Nasirabad,Ajmer,Ajmer,Rajasthan,central,26.4499,74.6399,Tier2City,0.006,0.014,"TYP_01,TYP_05"
V2_ZID_083,Bikaner Kotwali,Kotwali / Rani Bazaar,Bikaner,Bikaner,Rajasthan,central,28.0229,73.3119,Tier2City,0.005,0.012,"TYP_01,TYP_06"
V2_ZID_084,Korba / Raigarh,Korba SECL area,Korba,Korba,Chhattisgarh,central,22.3595,82.7501,Tier3City,0.004,0.01,"TYP_03,TYP_05"
V2_ZID_085,Durg / Bhilai,Bhilai sector,Durg,Durg,Chhattisgarh,central,21.1904,81.3509,Tier2City,0.005,0.012,"TYP_01,TYP_03"
V2_ZID_086,Satna / Rewa,Satna city centre,Satna,Satna,Madhya Pradesh,central,24.5738,80.832,Tier3City,0.004,0.01,"TYP_01,TYP_05"
V2_ZID_087,Guwahati Zoo Road,Zoo Road / Bhangagarh / Dispur,Guwahati,Kamrup Metro,Assam,northeast,26.1445,91.7362,Metro,0.01,0.022,"TYP_04,TYP_07"
V2_ZID_088,Dibrugarh,AT Road / Chowkidinghee,Dibrugarh,Dibrugarh,Assam,northeast,27.4728,94.912,Tier2City,0.005,0.012,"TYP_01,TYP_06"
V2_ZID_089,Silchar Rangirkhari,Rangirkhari / PB Road,Silchar,Cachar,Assam,northeast,24.8333,92.7789,Tier2City,0.004,0.01,"TYP_01,TYP_05"
V2_ZID_090,Shillong Police Bazaar,Police Bazaar / Laitumkhrah,Shillong,East Khasi Hills,Meghalaya,northeast,25.5788,91.8933,Tier2City,0.005,0.012,"TYP_01,TYP_09"
V2_ZID_091,Imphal Paona Bazaar,Paona Bazaar / BT Road,Imphal,Imphal West,Manipur,northeast,24.817,93.9368,Tier2City,0.004,0.01,"TYP_01,TYP_05"
V2_ZID_092,Agartala City,Krishna Nagar / Battala,Agartala,West Tripura,Tripura,northeast,23.8315,91.2868,Tier2City,0.004,0.01,"TYP_01,TYP_06"
V2_ZID_093,Jorhat / Sibsagar,AT Road Jorhat,Jorhat,Jorhat,Assam,northeast,26.7509,94.2037,Tier3City,0.003,0.008,"TYP_01,TYP_05"
V2_ZID_094,Tezpur / Nagaon,Tezpur town,Tezpur,Sonitpur,Assam,northeast,26.6338,92.7926,Tier3City,0.003,0.008,"TYP_06,TYP_02"
V2_ZID_095,Kohima,High School Colony / NST stand,Kohima,Kohima,Nagaland,northeast,25.6701,94.1077,Tier3City,0.002,0.007,"TYP_01,TYP_05"
V2_ZID_096,Aizawl Zarkawt,Zarkawt / Bungkawn,Aizawl,Aizawl,Mizoram,northeast,23.7271,92.7176,Tier3City,0.002,0.007,"TYP_01,TYP_09"
V2_ZID_097,Amritsar Hall Bazaar,Hall Bazaar / Lawrence Road,Amritsar,Amritsar,Punjab,northwest,31.634,74.8723,Metro,0.014,0.028,"TYP_04,TYP_07"
V2_ZID_098,Ludhiana Feroze Gandhi Market,Feroze Gandhi Market / Sarabha Nagar,Ludhiana,Ludhiana,Punjab,northwest,30.901,75.8573,Metro,0.016,0.033,"TYP_04,TYP_03"
V2_ZID_099,Jalandhar Model Town,Model Town / Lajpat Nagar,Jalandhar,Jalandhar,Punjab,northwest,31.326,75.5762,Tier2City,0.01,0.022,"TYP_04,TYP_07"
V2_ZID_100,Patiala Leela Bhawan,Leela Bhawan / Urban Estate,Patiala,Patiala,Punjab,northwest,30.3398,76.3869,Tier2City,0.007,0.016,"TYP_01,TYP_03"
V2_ZID_101,Bathinda,Bathinda bus stand / Goniana Road,Bathinda,Bathinda,Punjab,northwest,30.211,74.9455,Tier2City,0.006,0.014,"TYP_01,TYP_05"
V2_ZID_102,Hoshiarpur,Hoshiarpur city centre,Hoshiarpur,Hoshiarpur,Punjab,northwest,31.5143,75.9114,Tier3City,0.004,0.01,"TYP_01,TYP_06"
V2_ZID_103,Hisar,Hisar main market / Urban Estate,Hisar,Hisar,Haryana,northwest,29.1492,75.7217,Tier2City,0.006,0.014,"TYP_01,TYP_05"
V2_ZID_104,Ambala Cantonment,Ambala Cantt / Model Town,Ambala,Ambala,Haryana,northwest,30.3782,76.7767,Tier2City,0.006,0.014,"TYP_01,TYP_06"
V2_ZID_105,Shimla Lower Bazaar,Lower Bazaar / Lakkar Bazaar,Shimla,Shimla,Himachal Pradesh,northwest,31.1048,77.1734,Tier2City,0.005,0.012,"TYP_01,TYP_09"
V2_ZID_106,Dharamshala / Kangra,Dharamshala city,Dharamshala,Kangra,Himachal Pradesh,northwest,32.219,76.3234,Tier3City,0.003,0.008,"TYP_01,TYP_09"
V2_ZID_107,Srinagar Lal Chowk,Lal Chowk / Residency Road,Srinagar,Srinagar,Jammu & Kashmir,northwest,34.0837,74.7973,Tier2City,0.005,0.012,"TYP_01,TYP_04"
V2_ZID_108,Jammu Bakshi Nagar,Bakshi Nagar / Gandhi Nagar,Jammu,Jammu,Jammu & Kashmir,northwest,32.7266,74.857,Tier2City,0.006,0.014,"TYP_01,TYP_07"
V2_ZID_109,Mangaluru Hampankatta,Hampankatta / Lalbagh,Mangaluru,Dakshina Kannada,Karnataka,coastal,12.8698,74.8432,Tier2City,0.007,0.016,"TYP_04,TYP_09"
V2_ZID_110,Panaji Fontainhas,Fontainhas / Panjim Market,Panaji,North Goa,Goa,coastal,15.4909,73.8278,Tier2City,0.005,0.012,"TYP_04,TYP_09"
V2_ZID_111,Ratnagiri / Chiplun,Ratnagiri bus stand,Ratnagiri,Ratnagiri,Maharashtra,coastal,16.9902,73.312,Tier3City,0.003,0.008,"TYP_06,TYP_01"
V2_ZID_112,Kollam,Kollam city / Chinnakada,Kollam,Kollam,Kerala,coastal,8.8932,76.6141,Tier2City,0.005,0.012,"TYP_01,TYP_09"
V2_ZID_113,Kannur,Kannur town / Caltex Junction,Kannur,Kannur,Kerala,coastal,11.8745,75.3704,Tier2City,0.004,0.01,"TYP_01,TYP_09"
V2_ZID_114,Palakkad / Malappuram,Palakkad bus stand,Palakkad,Palakkad,Kerala,coastal,10.7867,76.6548,Tier3City,0.003,0.008,"TYP_01,TYP_02"
V2_ZID_115,Udupi,Udupi town / SC Road,Udupi,Udupi,Karnataka,coastal,13.3409,74.7421,Tier3City,0.003,0.008,"TYP_01,TYP_09"
V2_ZID_116,Kakinada / Rajahmundry,Kakinada main road,Kakinada,East Godavari,Andhra Pradesh,coastal,16.9891,82.2475,Tier2City,0.005,0.012,"TYP_01,TYP_03"
V2_ZID_117,Ongole / Nellore,Ongole city,Ongole,Prakasam,Andhra Pradesh,coastal,15.5057,80.0499,Tier3City,0.003,0.008,"TYP_06,TYP_01"
V2_ZID_118,Vizianagaram,Vizianagaram town,Vizianagaram,Vizianagaram,Andhra Pradesh,coastal,18.1066,83.3956,Tier3City,0.003,0.008,"TYP_01,TYP_05"
V2_ZID_119,Puri / Konark,Puri sea-beach cluster,Puri,Puri,Odisha,coastal,19.8135,85.8312,Tier3City,0.003,0.008,"TYP_01,TYP_09"
V2_ZID_120,Srikakulam / Ichapur,Srikakulam town,Srikakulam,Srikakulam,Andhra Pradesh,coastal,18.2949,83.8938,Tier3City,0.002,0.007,"TYP_01,TYP_06"
