hop_id,complaint_id,hop_sequence,from_account,to_account,amount_transferred,bank_channel,institution,event_timestamp,available_timestamp
HOP_V2CMP_0000006_1,V2CMP_0000006,1,VICT_0043092,ACCV2_0008747,6886.25,IMPS,SBI,2026-01-10T15:40:06.278691,2026-01-10T16:13:06.278691
HOP_V2CMP_0000006_2,V2CMP_0000006,2,ACCV2_0008747,ACCV2_0008689,6886.25,UPI,Kotak,2026-01-10T15:45:26.363787,2026-01-10T16:29:26.363787
HOP_V2CMP_0000007_1,V2CMP_0000007,1,VICT_0043093,ACCV2_0024605,3244.21,,HDFC,2026-01-02T12:12:36.780044,2026-01-02T13:21:36.780044
HOP_V2CMP_0000007_2,V2CMP_0000007,2,ACCV2_0024605,ACCV2_0024621,2797.39,UPI,Kotak,2026-01-02T12:26:11.004864,2026-01-02T13:35:11.004864
HOP_V2CMP_0000007_3,V2CMP_0000007,3,ACCV2_0024621,ACCV2_0024604,2797.39,NEFT,PNB,2026-01-02T12:30:41.379447,2026-01-02T13:42:41.379447
HOP_V2CMP_0000008_1,V2CMP_0000008,1,VICT_0043094,ACCV2_0041794,455895.08,UPI,Axis,2026-01-06T13:45:00.873801,2026-01-06T15:05:00.873801
HOP_V2CMP_0000008_2,V2CMP_0000008,2,ACCV2_0041794,ACCV2_0026981,410233.31,UPI,PNB,2026-01-06T13:47:37.159647,2026-01-06T14:35:37.159647
HOP_V2CMP_0000008_3,V2CMP_0000008,3,ACCV2_0026981,ACCV2_0027017,372242.08,UPI,PNB,2026-01-06T13:54:11.573761,2026-01-06T14:04:11.573761
HOP_V2CMP_0000008_4,V2CMP_0000008,4,ACCV2_0027017,ACCV2_0026980,372242.08,RTGS,SBI,2026-01-06T13:58:31.154518,2026-01-06T14:30:31.154518
HOP_V2CMP_0000009_1,V2CMP_0000009,1,VICT_0043095,ACCV2_0015014,59311.2,UPI,HDFC,2026-01-04T19:34:29.430733,2026-01-04T19:47:29.430733
HOP_V2CMP_0000009_2,V2CMP_0000009,2,ACCV2_0015014,ACCV2_0040492,38693.9,UPI,Yes Bank,2026-01-04T19:39:23.770436,2026-01-04T20:32:23.770436
HOP_V2CMP_0000009_3,V2CMP_0000009,3,ACCV2_0040492,ACCV2_0015017,38693.9,UPI,SBI,2026-01-04T19:54:47.911247,2026-01-04T21:17:47.911247
HOP_V2CMP_0000011_1,V2CMP_0000011,1,VICT_0043097,ACCV2_0012183,776538.14,RTGS,,2026-01-04T12:39:00.839119,2026-01-04T14:00:00.839119
HOP_V2CMP_0000011_2,V2CMP_0000011,2,ACCV2_0012183,ACCV2_0012241,636287.86,IMPS,PNB,2026-01-04T12:49:55.257411,2026-01-04T13:35:55.257411
HOP_V2CMP_0000011_3,V2CMP_0000011,3,ACCV2_0012241,ACCV2_0012214,461932.75,UPI,,2026-01-04T12:52:01.496021,2026-01-04T13:22:01.496021
HOP_V2CMP_0000011_4,V2CMP_0000011,4,ACCV2_0012214,ACCV2_0012183,461932.75,RTGS,Yes Bank,2026-01-04T12:55:15.491824,2026-01-04T13:58:15.491824
HOP_V2CMP_0000012_1,V2CMP_0000012,1,VICT_0043098,ACCV2_0000599,9186.13,UPI,Bank of Baroda,2026-01-30T19:23:53.985947,2026-01-30T20:33:53.985947
HOP_V2CMP_0000012_2,V2CMP_0000012,2,ACCV2_0000599,ACCV2_0000604,9186.13,UPI,ICICI,2026-01-30T19:26:10.998302,2026-01-30T20:54:10.998302
HOP_V2CMP_0000013_1,V2CMP_0000013,1,VICT_0043099,ACCV2_0009459,10846.65,UPI,ICICI,2026-01-12T11:05:15.376204,2026-01-12T11:41:15.376204
HOP_V2CMP_0000013_2,V2CMP_0000013,2,ACCV2_0009459,ACCV2_0009455,9241.83,UPI,ICICI,2026-01-12T11:06:56.684189,2026-01-12T11:29:56.684189
HOP_V2CMP_0000013_3,V2CMP_0000013,3,ACCV2_0009455,ACCV2_0009516,8893.67,UPI,Paytm PB,2026-01-12T11:16:28.505161,2026-01-12T11:32:28.505161
HOP_V2CMP_0000013_4,V2CMP_0000013,4,ACCV2_0009516,ACCV2_0009462,8893.67,UPI,ICICI,2026-01-12T11:23:15.676862,2026-01-12T12:36:15.676862
HOP_V2CMP_0000014_1,V2CMP_0000014,1,VICT_0043100,ACCV2_0042396,85798.92,UPI,ICICI,2026-01-28T13:48:58.030674,2026-01-28T14:50:58.030674
HOP_V2CMP_0000014_2,V2CMP_0000014,2,ACCV2_0042396,ACCV2_0035216,85798.92,UPI,IndusInd,2026-01-28T13:49:58.030674,2026-01-28T14:12:58.030674
HOP_V2CMP_0000015_1,V2CMP_0000015,1,VICT_0043101,ACCV2_0012590,9954.37,UPI,SBI,2026-01-20T14:24:24.760870,2026-01-20T14:46:24.760870
HOP_V2CMP_0000015_2,V2CMP_0000015,2,ACCV2_0012590,ACCV2_0012587,9911.61,UPI,Paytm PB,2026-01-20T14:35:09.294260,2026-01-20T15:48:09.294260
HOP_V2CMP_0000015_3,V2CMP_0000015,3,ACCV2_0012587,ACCV2_0012590,8982.14,UPI,Yes Bank,2026-01-20T14:40:18.657995,2026-01-20T15:14:18.657995
HOP_V2CMP_0000015_4,V2CMP_0000015,4,ACCV2_0012590,ACCV2_0012646,5448.94,UPI,PNB,2026-01-20T15:17:12.124028,2026-01-20T16:13:12.124028
HOP_V2CMP_0000015_5,V2CMP_0000015,5,ACCV2_0012646,ACCV2_0012587,5448.94,UPI,IndusInd,2026-01-20T15:18:20.727875,2026-01-20T15:45:20.727875
HOP_V2CMP_0000016_1,V2CMP_0000016,1,VICT_0043102,ACCV2_0025504,9874.72,UPI,ICICI,2026-01-14T05:56:58.560808,2026-01-14T07:12:58.560808
HOP_V2CMP_0000016_2,V2CMP_0000016,2,ACCV2_0025504,ACCV2_0025504,9059.55,UPI,Paytm PB,2026-01-14T06:35:15.600193,2026-01-14T07:41:15.600193
HOP_V2CMP_0000016_3,V2CMP_0000016,3,ACCV2_0025504,ACCV2_0025505,5632.39,IMPS,SBI,2026-01-14T06:46:31.773807,2026-01-14T07:03:31.773807
HOP_V2CMP_0000016_4,V2CMP_0000016,4,ACCV2_0025505,ACCV2_0025506,4986.13,IMPS,IndusInd,2026-01-14T06:48:52.378958,2026-01-14T07:59:52.378958
HOP_V2CMP_0000016_5,V2CMP_0000016,5,ACCV2_0025506,ACCV2_0025504,4986.13,UPI,PNB,2026-01-14T06:56:03.528591,2026-01-14T07:45:03.528591
HOP_V2CMP_0000017_1,V2CMP_0000017,1,VICT_0043103,ACCV2_0021809,537261.03,UPI,Canara Bank,2026-01-24T09:43:00.184617,2026-01-24T10:59:00.184617
HOP_V2CMP_0000018_1,V2CMP_0000018,1,VICT_0043104,ACCV2_0034269,4628.23,UPI,HDFC,2026-01-20T08:17:22.698915,2026-01-20T09:28:22.698915
HOP_V2CMP_0000018_2,V2CMP_0000018,2,ACCV2_0034269,ACCV2_0034269,3271.05,UPI,Paytm PB,2026-01-20T08:28:10.157109,2026-01-20T08:48:10.157109
HOP_V2CMP_0000018_3,V2CMP_0000018,3,ACCV2_0034269,ACCV2_0034269,3108.31,UPI,Yes Bank,2026-01-20T08:31:02.111208,2026-01-20T08:42:02.111208
HOP_V2CMP_0000018_4,V2CMP_0000018,4,ACCV2_0034269,ACCV2_0034270,3108.31,NEFT,Kotak,2026-01-20T08:32:02.111208,2026-01-20T09:36:02.111208
HOP_V2CMP_0000019_1,V2CMP_0000019,1,VICT_0043105,ACCV2_0024939,6363.69,UPI,Axis,2026-01-29T09:21:34,2026-01-29T10:01:34
HOP_V2CMP_0000019_2,V2CMP_0000019,2,ACCV2_0024939,ACCV2_0024934,4080.56,,IndusInd,2026-01-29T09:24:32.186058,2026-01-29T10:26:32.186058
HOP_V2CMP_0000019_3,V2CMP_0000019,3,ACCV2_0024934,ACCV2_0024934,4080.56,UPI,IndusInd,2026-01-29T09:29:41.135311,2026-01-29T10:59:41.135311
HOP_V2CMP_0000020_1,V2CMP_0000020,1,VICT_0043106,ACCV2_0037726,22439.99,NEFT,Kotak,2026-01-24T08:46:47.317720,2026-01-24T09:15:47.317720
HOP_V2CMP_0000020_2,V2CMP_0000020,2,ACCV2_0037726,ACCV2_0037726,12569.07,UPI,Kotak,2026-01-24T09:18:28.335016,2026-01-24T10:12:28.335016
HOP_V2CMP_0000020_3,V2CMP_0000020,3,ACCV2_0037726,ACCV2_0037728,7606.89,IMPS,,2026-01-24T09:29:41.769131,2026-01-24T10:54:41.769131
HOP_V2CMP_0000020_4,V2CMP_0000020,4,ACCV2_0037728,ACCV2_0037728,5468.41,IMPS,Kotak,2026-01-24T09:33:38.713251,2026-01-24T10:20:38.713251
HOP_V2CMP_0000020_5,V2CMP_0000020,5,ACCV2_0037728,ACCV2_0037726,5468.41,UPI,Kotak,2026-01-24T09:52:37.643163,2026-01-24T10:02:37.643163
HOP_V2CMP_0000021_1,V2CMP_0000021,1,VICT_0043107,ACCV2_0042487,8997.97,RTGS,SBI,2026-01-26T17:03:11.706726,2026-01-26T17:53:11.706726
HOP_V2CMP_0000021_2,V2CMP_0000021,2,ACCV2_0042487,ACCV2_0042481,7130.52,IMPS,Axis,2026-01-26T17:18:08.607556,2026-01-26T18:28:08.607556
HOP_V2CMP_0000021_3,V2CMP_0000021,3,ACCV2_0042481,ACCV2_0042480,7130.52,UPI,HDFC,2026-01-26T17:25:09.549355,2026-01-26T18:45:09.549355
HOP_V2CMP_0000022_1,V2CMP_0000022,1,VICT_0043108,ACCV2_0018018,186335.44,UPI,Canara Bank,2026-01-16T13:56:50.709142,2026-01-16T14:27:50.709142
HOP_V2CMP_0000022_2,V2CMP_0000022,2,ACCV2_0018018,ACCV2_0018019,140524.25,UPI,ICICI,2026-01-16T14:04:28.725293,2026-01-16T15:19:28.725293
HOP_V2CMP_0000022_3,V2CMP_0000022,3,ACCV2_0018019,ACCV2_0018027,79098.24,UPI,Kotak,2026-01-16T14:05:30.363230,2026-01-16T14:59:30.363230
HOP_V2CMP_0000022_4,V2CMP_0000022,4,ACCV2_0018027,ACCV2_0018021,67000.65,UPI,PNB,2026-01-16T14:08:24.585702,2026-01-16T14:28:24.585702
HOP_V2CMP_0000022_5,V2CMP_0000022,5,ACCV2_0018021,ACCV2_0018018,67000.65,IMPS,PNB,2026-01-16T14:16:43.597209,2026-01-16T14:41:43.597209
HOP_V2CMP_0000023_1,V2CMP_0000023,1,VICT_0043109,ACCV2_0000385,68054.67,UPI,Kotak,2026-01-24T19:37:11.753023,2026-01-24T20:58:11.753023
HOP_V2CMP_0000023_2,V2CMP_0000023,2,ACCV2_0000385,ACCV2_0000369,60381.8,UPI,PNB,2026-01-24T20:01:24.542412,2026-01-24T20:23:24.542412
HOP_V2CMP_0000023_3,V2CMP_0000023,3,ACCV2_0000369,ACCV2_0000369,49461.7,UPI,Axis,2026-01-24T20:08:08.212080,2026-01-24T21:02:08.212080
HOP_V2CMP_0000023_4,V2CMP_0000023,4,ACCV2_0000369,ACCV2_0000369,29352.01,UPI,PNB,2026-01-24T20:10:46.812655,2026-01-24T20:57:46.812655
HOP_V2CMP_0000023_5,V2CMP_0000023,5,ACCV2_0000369,ACCV2_0000385,28166.1,IMPS,PNB,2026-01-24T20:19:24.418568,2026-01-24T21:32:24.418568
HOP_V2CMP_0000023_6,V2CMP_0000023,6,ACCV2_0000385,ACCV2_0000369,23882.33,UPI,Yes Bank,2026-01-24T20:20:43.537113,2026-01-24T21:26:43.537113
HOP_V2CMP_0000023_7,V2CMP_0000023,7,ACCV2_0000369,ACCV2_0000371,23882.33,IMPS,Axis,2026-01-24T20:28:34.067495,2026-01-24T20:43:34.067495
HOP_V2CMP_0000024_1,V2CMP_0000024,1,VICT_0043110,ACCV2_0031628,83739.29,IMPS,HDFC,2026-01-20T16:08:51.832266,2026-01-20T16:59:51.832266
HOP_V2CMP_0000025_1,V2CMP_0000025,1,VICT_0043111,ACCV2_0031585,149043.83,UPI,Bank of Baroda,2026-01-08T19:16:25,2026-01-08T19:55:25
HOP_V2CMP_0000026_1,V2CMP_0000026,1,VICT_0043112,ACCV2_0040749,13944.63,UPI,,2026-01-22T09:00:55.462846,2026-01-22T09:40:55.462846
HOP_V2CMP_0000026_2,V2CMP_0000026,2,ACCV2_0040749,ACCV2_0031293,13944.63,UPI,HDFC,2026-01-22T09:12:56.265608,2026-01-22T09:25:56.265608
HOP_V2CMP_0000027_1,V2CMP_0000027,1,VICT_0043113,ACCV2_0001233,5527.13,UPI,HDFC,2026-01-29T19:36:18.860804,2026-01-29T19:48:18.860804
HOP_V2CMP_0000027_2,V2CMP_0000027,2,ACCV2_0001233,ACCV2_0001235,5527.13,IMPS,SBI,2026-01-29T20:31:51.696673,2026-01-29T20:55:51.696673
HOP_V2CMP_0000028_1,V2CMP_0000028,1,VICT_0043114,ACCV2_0024843,5564.41,IMPS,Bank of Baroda,2026-01-15T14:20:09.470535,2026-01-15T15:25:09.470535
HOP_V2CMP_0000028_2,V2CMP_0000028,2,ACCV2_0024843,ACCV2_0024842,4820.54,UPI,Kotak,2026-01-15T15:15:23.401849,2026-01-15T16:41:23.401849
HOP_V2CMP_0000028_3,V2CMP_0000028,3,ACCV2_0024842,ACCV2_0024842,4820.54,IMPS,ICICI,2026-01-15T15:18:29.601238,2026-01-15T15:47:29.601238
HOP_V2CMP_0000029_1,V2CMP_0000029,1,VICT_0043115,ACCV2_0015479,46850.08,IMPS,Canara Bank,2026-01-24T10:49:02.849308,2026-01-24T11:51:02.849308
HOP_V2CMP_0000029_2,V2CMP_0000029,2,ACCV2_0015479,ACCV2_0015481,46850.08,UPI,IndusInd,2026-01-24T11:03:53.908280,2026-01-24T11:44:53.908280
HOP_V2CMP_0000030_1,V2CMP_0000030,1,VICT_0043116,ACCV2_0025654,386347.02,NEFT,Canara Bank,2026-01-30T23:38:57.215137,2026-01-31T00:15:57.215137
HOP_V2CMP_0000031_1,V2CMP_0000031,1,VICT_0043117,ACCV2_0009519,6138.46,UPI,Kotak,2026-01-09T02:00:32.177791,2026-01-09T03:01:32.177791
HOP_V2CMP_0000031_2,V2CMP_0000031,2,ACCV2_0009519,ACCV2_0009563,5888.13,UPI,Kotak,2026-01-09T02:01:32.177791,2026-01-09T02:57:32.177791
HOP_V2CMP_0000031_3,V2CMP_0000031,3,ACCV2_0009563,ACCV2_0009521,4410.46,IMPS,,2026-01-09T02:05:50.162241,2026-01-09T02:25:50.162241
HOP_V2CMP_0000031_4,V2CMP_0000031,4,ACCV2_0009521,ACCV2_0009518,3565.87,IMPS,Kotak,2026-01-09T02:08:38.571277,2026-01-09T03:05:38.571277
HOP_V2CMP_0000031_5,V2CMP_0000031,5,ACCV2_0009518,ACCV2_0009517,2467.09,UPI,,2026-01-09T02:12:16.620443,2026-01-09T02:49:16.620443
HOP_V2CMP_0000031_6,V2CMP_0000031,6,ACCV2_0009517,ACCV2_0009519,1427.12,UPI,PNB,2026-01-09T02:19:31.746008,2026-01-09T03:20:31.746008
HOP_V2CMP_0000031_7,V2CMP_0000031,7,ACCV2_0009519,ACCV2_0009517,1427.12,UPI,PNB,2026-01-09T02:23:10.887532,2026-01-09T03:50:10.887532
HOP_V2CMP_0000032_1,V2CMP_0000032,1,VICT_0043118,ACCV2_0026153,43912.86,NEFT,,2026-01-17T11:33:29.326449,2026-01-17T11:52:29.326449
HOP_V2CMP_0000032_2,V2CMP_0000032,2,ACCV2_0026153,ACCV2_0026153,38009.94,RTGS,PNB,2026-01-17T11:35:01.668934,2026-01-17T12:19:01.668934
HOP_V2CMP_0000032_3,V2CMP_0000032,3,ACCV2_0026153,ACCV2_0026153,38009.94,UPI,,2026-01-17T11:50:39.716988,2026-01-17T12:10:39.716988
HOP_V2CMP_0000034_1,V2CMP_0000034,1,VICT_0043120,ACCV2_0027362,13571.94,UPI,HDFC,2026-01-03T20:13:18.088863,2026-01-03T20:32:18.088863
HOP_V2CMP_0000035_1,V2CMP_0000035,1,VICT_0043121,ACCV2_0006641,17722.54,UPI,ICICI,2026-01-29T00:51:20.824013,2026-01-29T01:59:20.824013
HOP_V2CMP_0000035_2,V2CMP_0000035,2,ACCV2_0006641,ACCV2_0006641,14266.91,UPI,ICICI,2026-01-29T01:02:10.796485,2026-01-29T01:36:10.796485
HOP_V2CMP_0000035_3,V2CMP_0000035,3,ACCV2_0006641,ACCV2_0006641,14266.91,IMPS,Axis,2026-01-29T02:01:18.795603,2026-01-29T02:18:18.795603
HOP_V2CMP_0000036_1,V2CMP_0000036,1,VICT_0043122,ACCV2_0032788,75108.55,IMPS,Axis,2026-01-28T11:30:04.808798,2026-01-28T11:56:04.808798
HOP_V2CMP_0000036_2,V2CMP_0000036,2,ACCV2_0032788,ACCV2_0032788,58348.08,UPI,Kotak,2026-01-28T11:41:43.819584,2026-01-28T11:51:43.819584
HOP_V2CMP_0000036_3,V2CMP_0000036,3,ACCV2_0032788,ACCV2_0032788,44361.04,,Axis,2026-01-28T11:58:29.794245,2026-01-28T12:13:29.794245
HOP_V2CMP_0000036_4,V2CMP_0000036,4,ACCV2_0032788,ACCV2_0032791,44361.04,IMPS,SBI,2026-01-28T12:13:59.468867,2026-01-28T13:27:59.468867
HOP_V2CMP_0000037_1,V2CMP_0000037,1,VICT_0043123,ACCV2_0006962,271185.93,UPI,Kotak,2026-01-01T08:03:13.099918,2026-01-01T08:16:13.099918
HOP_V2CMP_0000037_2,V2CMP_0000037,2,ACCV2_0006962,ACCV2_0041849,271185.93,RTGS,Kotak,2026-01-01T08:39:19.790201,2026-01-01T09:09:19.790201
HOP_V2CMP_0000038_1,V2CMP_0000038,1,VICT_0043124,ACCV2_0041097,72379.48,UPI,SBI,2026-01-10T16:45:19.298446,2026-01-10T17:26:19.298446
HOP_V2CMP_0000038_2,V2CMP_0000038,2,ACCV2_0041097,ACCV2_0010215,52362.4,UPI,Kotak,2026-01-10T17:07:02.377796,2026-01-10T18:15:02.377796
HOP_V2CMP_0000038_3,V2CMP_0000038,3,ACCV2_0010215,ACCV2_0010216,52362.4,UPI,PNB,2026-01-10T17:11:14.385414,2026-01-10T17:25:14.385414
HOP_V2CMP_0000039_1,V2CMP_0000039,1,VICT_0043125,ACCV2_0042869,10299.19,UPI,Canara Bank,2026-01-09T19:46:22.882667,2026-01-09T20:45:22.882667
HOP_V2CMP_0000039_2,V2CMP_0000039,2,ACCV2_0042869,ACCV2_0042905,10299.19,RTGS,ICICI,2026-01-09T19:52:52.717072,2026-01-09T20:59:52.717072
HOP_V2CMP_0000040_1,V2CMP_0000040,1,VICT_0043126,ACCV2_0000270,2633027.99,UPI,Kotak,2026-01-04T17:11:28.209732,2026-01-04T18:29:28.209732
HOP_V2CMP_0000041_1,V2CMP_0000041,1,VICT_0043127,ACCV2_0016019,53504.34,IMPS,Canara Bank,2026-01-15T19:53:45.162230,2026-01-15T20:36:45.162230
HOP_V2CMP_0000041_2,V2CMP_0000041,2,ACCV2_0016019,ACCV2_0016017,53504.34,UPI,,2026-01-15T19:57:14.692874,2026-01-15T20:50:14.692874
HOP_V2CMP_0000042_1,V2CMP_0000042,1,VICT_0043128,ACCV2_0011816,77684.01,UPI,Kotak,2026-01-11T21:01:16.547676,2026-01-11T22:31:16.547676
HOP_V2CMP_0000042_2,V2CMP_0000042,2,ACCV2_0011816,ACCV2_0011782,77684.01,UPI,ICICI,2026-01-11T21:08:13.862886,2026-01-11T22:17:13.862886
HOP_V2CMP_0000043_1,V2CMP_0000043,1,VICT_0043129,ACCV2_0011171,465698.08,RTGS,HDFC,2026-01-06T11:04:27.233871,2026-01-06T12:21:27.233871
HOP_V2CMP_0000043_2,V2CMP_0000043,2,ACCV2_0011171,ACCV2_0011170,425544.11,UPI,Axis,2026-01-06T11:16:41.262556,2026-01-06T12:16:41.262556
HOP_V2CMP_0000043_3,V2CMP_0000043,3,ACCV2_0011170,ACCV2_0011171,298382.92,UPI,Paytm PB,2026-01-06T11:23:28.225770,2026-01-06T11:51:28.225770
HOP_V2CMP_0000043_4,V2CMP_0000043,4,ACCV2_0011171,ACCV2_0011170,207968.6,IMPS,Yes Bank,2026-01-06T11:40:38.046765,2026-01-06T12:40:38.046765
HOP_V2CMP_0000043_5,V2CMP_0000043,5,ACCV2_0011170,ACCV2_0011170,170101.95,UPI,SBI,2026-01-06T11:57:01.266339,2026-01-06T12:46:01.266339
HOP_V2CMP_0000043_6,V2CMP_0000043,6,ACCV2_0011170,ACCV2_0011170,170101.95,UPI,Axis,2026-01-06T12:00:14.699756,2026-01-06T12:56:14.699756
HOP_V2CMP_0000044_1,V2CMP_0000044,1,VICT_0043130,ACCV2_0032315,520821.08,RTGS,ICICI,2026-01-21T13:38:26.350957,2026-01-21T14:00:26.350957
HOP_V2CMP_0000044_2,V2CMP_0000044,2,ACCV2_0032315,ACCV2_0032279,300856.58,NEFT,ICICI,2026-01-21T13:40:34.806230,2026-01-21T14:19:34.806230
HOP_V2CMP_0000044_3,V2CMP_0000044,3,ACCV2_0032279,ACCV2_0032279,300856.58,UPI,SBI,2026-01-21T13:41:38.497682,2026-01-21T13:59:38.497682
HOP_V2CMP_0000045_1,V2CMP_0000045,1,VICT_0043131,ACCV2_0009786,17310.17,IMPS,ICICI,2026-01-30T09:59:42.064445,2026-01-30T11:27:42.064445
HOP_V2CMP_0000045_2,V2CMP_0000045,2,ACCV2_0009786,ACCV2_0009786,16399.79,NEFT,IndusInd,2026-01-30T10:11:16.308814,2026-01-30T11:06:16.308814
HOP_V2CMP_0000045_3,V2CMP_0000045,3,ACCV2_0009786,ACCV2_0009789,9351.8,IMPS,HDFC,2026-01-30T10:13:45.082902,2026-01-30T11:08:45.082902
HOP_V2CMP_0000045_4,V2CMP_0000045,4,ACCV2_0009789,ACCV2_0009785,8322.43,NEFT,HDFC,2026-01-30T10:47:14.181216,2026-01-30T11:06:14.181216
HOP_V2CMP_0000045_5,V2CMP_0000045,5,ACCV2_0009785,ACCV2_0009801,8322.43,UPI,SBI,2026-01-30T12:31:32.334339,2026-01-30T13:13:32.334339
HOP_V2CMP_0000046_1,V2CMP_0000046,1,VICT_0043132,ACCV2_0025599,326265.79,UPI,Bank of Baroda,2026-01-31T19:34:05.789015,2026-01-31T19:56:05.789015
HOP_V2CMP_0000046_2,V2CMP_0000046,2,ACCV2_0025599,ACCV2_0025600,326265.79,RTGS,,2026-01-31T19:46:28.451008,2026-01-31T20:39:28.451008
HOP_V2CMP_0000047_1,V2CMP_0000047,1,VICT_0043133,ACCV2_0022134,15797.51,UPI,,2026-01-12T11:01:05.100586,2026-01-12T12:29:05.100586
HOP_V2CMP_0000047_2,V2CMP_0000047,2,ACCV2_0022134,ACCV2_0022105,15797.51,UPI,Yes Bank,2026-01-12T11:07:39.841639,2026-01-12T12:21:39.841639
HOP_V2CMP_0000048_1,V2CMP_0000048,1,VICT_0043134,ACCV2_0012851,130555.08,UPI,Bank of Baroda,2026-01-11T18:17:17.816492,2026-01-11T19:09:17.816492
HOP_V2CMP_0000048_2,V2CMP_0000048,2,ACCV2_0012851,ACCV2_0012851,130555.08,UPI,HDFC,2026-01-11T19:25:06.124018,2026-01-11T19:47:06.124018
HOP_V2CMP_0000049_1,V2CMP_0000049,1,VICT_0043135,ACCV2_0018576,391096.86,UPI,HDFC,2026-01-01T18:40:00.543015,2026-01-01T19:35:00.543015
HOP_V2CMP_0000050_1,V2CMP_0000050,1,VICT_0043136,ACCV2_0000640,236554.79,UPI,ICICI,2026-01-01T13:35:19.755666,2026-01-01T13:50:19.755666
HOP_V2CMP_0000050_2,V2CMP_0000050,2,ACCV2_0000640,ACCV2_0000630,201250.58,RTGS,ICICI,2026-01-01T14:02:19.489279,2026-01-01T14:17:19.489279
HOP_V2CMP_0000050_3,V2CMP_0000050,3,ACCV2_0000630,ACCV2_0000632,201250.58,,IndusInd,2026-01-01T14:11:00.507595,2026-01-01T14:21:00.507595
HOP_V2CMP_0000051_1,V2CMP_0000051,1,VICT_0043137,ACCV2_0015594,5782.07,UPI,Axis,2026-01-20T19:23:49.243347,2026-01-20T20:07:49.243347
